uid,nces_school_id,school_name,nces_district_id,district_name,date,school_year,year,time,day_of_week,city,state,school_type,enrollment,killed,injured,casualties,shooting_type,age_shooter1,gender_shooter1,race_ethnicity_shooter1,shooter_relationship1,shooter_deceased1,deceased_notes1,age_shooter2,gender_shooter2,race_ethnicity_shooter2,shooter_relationship2,shooter_deceased2,deceased_notes2,white,black,hispanic,asian,american_indian_alaska_native,hawaiian_native_pacific_islander,two_or_more,resource_officer,weapon,weapon_source,lat,long,staffing,low_grade,high_grade,lunch,county,state_fips,county_fips,ulocale,month,day
175,130138002640,Vereen School,1301380,Colquitt County,2015-11-05,2015-2016,2015,,Thursday,Moultrie,GEORGIA,public,40,0,0,0,targeted,NA,m,,student,0,,NA,,,,NA,,NA,,,NA,NA,NA,NA,1,semiautomatic pistol,department issued,31.175943,-83.804368,NA,,,,Colquitt County,13,13071,41,Nov,5
176,120027002425,Lecanto High School,1200270,Citrus,2015-11-10,2015-2016,2015,10:30 AM,Tuesday,Lecanto,FLORIDA,public,1567,0,0,0,public suicide,15,m,,student,0,,NA,,,,NA,,1243,72,132,59,12,1,48,1,Walther P1 9mm semiautomatic handgun,,28.824494,-82.499153,84,9,12,839,Citrus County,12,12017,41,Nov,10
177,050729000443,Harmony Grove High School,507290,Harmony Grove School District,2016-01-13,2015-2016,2016,3:00 PM,Wednesday,Camden,ARKANSAS,public,393,0,1,1,accidental,17,m,,student,0,,NA,,,,NA,,294,69,20,3,0,1,6,0,pistol,,33.6514,-92.7796,47.17,7,12,195,Ouachita County,5,5103,42,Jan,13
178,421899003851,Benjamin Franklin High School,4218990,Philadelphia City Sd,2016-01-29,2015-2016,2016,12:00 PM,Friday,Philadelphia,PENNSYLVANIA,public,612,0,0,0,targeted,16,m,,,0,,NA,,,,NA,,9,516,46,31,1,0,9,0,.45-caliber handgun,,39.96367,-75.162,44.42,9,12,612,Philadelphia County,42,42101,11,Jan,29
179,040345000284,Independence High School,403450,Glendale Union High School District,2016-02-12,2015-2016,2016,7:53 AM,Friday,Glendale,ARIZONA,public,2114,1,0,1,targeted,15,f,,student,1,suicide,NA,,,,NA,,247,190,1535,42,29,3,68,0,9mm Beretta pistol,"classmate, who took from parents",33.53216,-112.221,89.6,9,12,1584,Maricopa County,4,4013,21,Feb,12
180,390461202443,Madison High School,3904612,Madison Local,2016-02-29,2015-2016,2016,11:15 AM,Monday,Middletown,OHIO,public,1543,0,4,4,indiscriminate,14,m,w,student,0,,NA,,,,NA,,1495,9,13,2,0,3,21,1,Sig Sauer P238,family home,39.53385,-84.4433,33.5,9,12,248,Butler County,39,39017,41,Feb,29
181,010039000141,Huffman High School,100390,Birmingham City,2016-03-15,2015-2016,2016,2:30 PM,Tuesday,Birmingham,ALABAMA,public,1433,0,1,1,targeted,19,m,b,brother of student,0,,NA,,,,NA,,13,1341,63,2,6,0,8,1,,,33.61291,-86.682,66,9,12,775,Jefferson County,1,1073,12,Mar,15
182,480795000124,Alpine High School,4807950,Alpine Isd,2016-09-08,2016-2017,2016,9:00 AM,Thursday,Alpine,TEXAS,public,292,0,1,1,targeted,14,f,,student,1,suicide,NA,,,,NA,,97,2,190,1,0,1,1,0,9-mm. semi-automatic handgun,,30.371983,-103.665798,31.32,9,12,111,Brewster County,48,48043,33,Sep,8
183,450087000092,Townville Elementary School,4500870,Anderson 04,2016-09-28,2016-2017,2016,1:45 PM,Wednesday,Townville,SOUTH CAROLINA,public,295,1,2,3,indiscriminate,14,m,w,former student,0,,NA,,,,NA,,265,13,3,2,0,1,11,0,.40 caliber pistol,father,34.56311,-82.903471,19,PK,6,186,Anderson County,45,45007,42,Sep,28
184,010237000964,Cf Vigor High School,102370,Mobile County,2016-10-11,2016-2017,2016,3:45 PM,Tuesday,Prichard,ALABAMA,public,710,0,1,1,targeted,16,m,b,,0,,NA,,,,NA,,13,693,2,0,1,0,1,1,,,30.743233,-88.080692,41,9,12,511,Mobile County,1,1097,21,Oct,11
185,390438000672,Linden-Mckinley Stem Academy,3904380,Columbus City School District,2016-10-13,2016-2017,2016,2:40 PM,Thursday,Columbus,OHIO,public,719,0,2,2,targeted,NA,m,,,0,,NA,,,,NA,,56,582,35,2,1,0,43,1,,,40.00952,-82.974011,50,7,12,619,Franklin County,39,39049,11,Oct,13
186,063441011252,June Jordan High School For Equity,634410,San Francisco Unified,2016-10-18,2016-2017,2016,3:20 PM,Tuesday,San Francisco,CALIFORNIA,public,258,0,4,4,targeted,NA,m,,,0,,NA,,,,NA,,8,48,157,28,1,5,11,0,pistols,,37.719558,-122.425241,23.72,9,12,198,San Francisco County,6,6075,11,Oct,18
187,490014200328,Union Middle School,4900142,Canyons District,2016-10-25,2016-2017,2016,3:00 PM,Tuesday,Sandy,UTAH,public,907,0,1,1,targeted,14,m,,student,0,,NA,,,,NA,,592,15,226,16,5,21,32,1,,mother,40.60715,-111.873061,NA,6,8,389,Salt Lake County,49,49035,21,Oct,25
188,260426004113,Bay City Western High School,2604260,Bay City School District,2016-11-11,2016-2017,2016,12:30 PM,Friday,Auburn,MICHIGAN,public,1256,0,1,1,accidental,50,m,w,resource officer,0,,NA,,,,NA,,1176,6,36,10,4,0,24,1,.380-caliber Sig Sauer pistol,legally purchased by shooter,43.60478,-84.0783,57.55,9,12,292,Bay County,26,26017,23,Nov,11
189,490021000750,Mueller Park Jr. High,4900210,Davis District,2016-12-01,2016-2017,2016,8:13 AM,Thursday,Bountiful,UTAH,public,813,0,0,0,indiscriminate,15,m,w,student,0,,NA,,,,NA,,661,14,78,17,2,19,22,1,12-gauge shotgun,parent,40.872489,-111.861172,NA,7,9,145,Davis County,49,49011,21,Dec,1
190,390462102472,West Liberty-Salem Middle/High School,3904621,West Liberty-Salem Local,2017-01-20,2016-2017,2017,7:36 AM,Friday,West Liberty,OHIO,public,622,0,2,2,indiscriminate,17,m,w,student,0,,NA,,,,NA,,590,1,3,3,1,1,23,0,Mossberg Model 500 12 gauge shotgun,gift from grandparents,40.21594,-83.756761,38.4,6,12,0,Champaign County,39,39021,42,Jan,20
191,220054000423,Scotlandville Magnet High School,2200540,East Baton Rouge Parish,2017-02-06,2016-2017,2017,12:00 PM,Monday,Baton Rouge,LOUISIANA,public,1388,0,0,0,targeted,14,m,,student,0,,NA,,,,NA,,10,1370,4,0,0,0,4,1,handgun,,30.53365,-91.177851,NA,8,12,770,East Baton Rouge Parish,22,22033,12,Feb,6
238,010243001035,Robert E. Lee High School,102430,Montgomery County,2017-03-16,2016-2017,2017,3:00 PM,Thursday,Montgomery,ALABAMA,public,1514,0,1,1,targeted,16,m,m,student,NA,,NA,,,,NA,,132,1253,90,20,2,0,17,0,.40-caliber handgun,,32.378702,-86.271649,82.5,9,12,941,Montgomery County,1,1101,12,Mar,16
192,063417005375,North Park Elementary School,634170,San Bernardino City Unified,2017-04-10,2016-2017,2017,10:30 AM,Monday,San Bernardino,CALIFORNIA,public,531,2,1,3,targeted,53,m,b,husband of teacher,1,suicide,NA,,,,NA,,61,60,360,9,3,0,38,0,Smith & Wesson .357 Magnum revolver,,34.179206,-117.301804,19,KG,6,407,San Bernardino County,6,6071,12,Apr,10
193,220033000252,Moss Bluff Elementary School,2200330,Calcasieu Parish,2017-05-15,2016-2017,2017,7:50 AM,Monday,Lake Charles,LOUISIANA,public,963,0,1,1,accidental,7,m,w,student,0,,NA,,,,NA,,754,118,36,14,2,0,39,0,.380 caliber semi-automatic handgun,"father's gun, kept by 17 year old who shared room with shooter",30.29966,-93.2032,69.56,PK,5,439,Calcasieu Parish,22,22019,41,May,15
194,010171002162,Greensboro High School,101710,Hale County,2017-05-24,2016-2017,2017,11:30 AM,Wednesday,Greensboro,ALABAMA,public,464,0,0,0,targeted,NA,m,,student,0,,NA,,,,NA,,3,457,1,0,0,0,3,0,.22 caliber revolver,,32.70713,-87.589,26.5,9,12,373,Hale County,1,1065,42,May,24
195,170993001166,Warren Elementary School,1709930,City Of Chicago Sd 299,2017-06-16,2016-2017,2017,1:51 PM,Friday,Chicago,ILLINOIS,public,280,0,2,2,targeted,NA,m,b,,0,,NA,,,,NA,,0,275,4,0,0,0,1,1,,,41.726922,-87.575184,14.1,PK,8,263,Cook County,17,17031,11,Jun,16
196,390438004430,Columbus Scioto 6-12,3904380,Columbus City School District,2017-09-08,2017-2018,2017,8:33 AM,Friday,Columbus,OHIO,public,127,0,0,0,indiscriminate,18,m,b,,0,,NA,,,,NA,,46,71,4,0,0,0,6,0,.38-caliber handgun,,39.90163,-82.9958,34,6,12,127,Franklin County,39,39049,11,Sep,8
197,530297000485,Freeman High School,5302970,Freeman School District,2017-09-13,2017-2018,2017,10:00 AM,Wednesday,Rockford,WASHINGTON,public,330,1,3,4,indiscriminate,15,m,w,student,0,,NA,,,,NA,,282,7,23,5,4,0,9,1,"AR-15, pistol",father,47.519667,-117.19638,16.61,9,12,69,Spokane County,53,53063,42,Sep,13
198,172505002734,Mattoon High School,1725050,Mattoon Cusd 2,2017-09-20,2017-2018,2017,11:30 AM,Wednesday,Mattoon,ILLINOIS,public,1047,0,1,1,targeted,14,m,w,student,0,,NA,,,,NA,,931,36,40,9,1,1,29,1,.40-caliber Ruger semiautomatic pistol,stepfather,39.474405,-88.386955,58.05,9,12,518,Coles County,17,17029,32,Sep,20
199,262115008414,Pattengill Academy,2621150,Lansing Public School District,2017-11-03,2017-2018,2017,4:30 PM,Friday,Lansing,MICHIGAN,public,506,0,1,1,accidental,21,m,b,,0,,NA,,,,NA,,135,180,125,11,4,0,51,0,handgun,puchased legally by shooter from Dicker & Deal,42.73889,-84.5243,27.84,4,6,393,Ingham County,26,26065,12,Nov,3
200,130228000967,Benjamin Banneker High School,1302280,Fulton County,2017-11-09,2017-2018,2017,3:25 PM,Thursday,College Park,GEORGIA,public,1547,0,2,2,accidental,NA,,,,0,,NA,,,,NA,,6,1478,49,2,1,0,11,1,small-caliber handgun,,33.59297,-84.5176,106.9,9,12,1544,Fulton County,13,13121,21,Nov,9
201,060978004178,Rancho Tehama Elementary School,609780,Corning Union Elementary,2017-11-14,2017-2018,2017,7:50 AM,Tuesday,Corning,CALIFORNIA,public,101,0,2,2,targeted and indiscriminate,44,m,w,had beef with family of student at school,1,suicide,NA,,,,NA,,44,2,49,3,2,0,1,0,handmade AR-15-type rifle,contructed from parts legally purchased by shooter,40.015716,-122.398455,5.1,KG,5,84,Tehama County,6,6103,43,Nov,14
202,350015000135,Aztec High School,3500150,Aztec Municipal Schools,2017-12-07,2017-2018,2017,8:04 AM,Thursday,Aztec,NEW MEXICO,public,905,2,0,2,indiscriminate,21,m,w,former student,1,suicide,NA,,,,NA,,495,7,225,2,170,2,4,0,9mm Glock,legally purchased by shooter,36.820644,-107.990379,52.5,9,12,432,San Juan County,35,35045,31,Dec,7
203,370192000956,High Point Central High School,3701920,Guilford County Schools,2017-12-11,2017-2018,2017,2:08 PM,Monday,High Point,NORTH CAROLINA,public,1442,0,0,0,targeted,15,m,b,,0,,NA,,,,NA,,437,589,216,147,6,0,47,1,handgun,,35.95795,-80.0231,94.67,9,12,904,Guilford County,37,37081,12,Dec,11
205,220018802340,The Net Charter High School,2200188,Rsd-Educators For Quality Alternatives,2018-01-22,2017-2018,2018,1:30 PM,Monday,New Orleans,LOUISIANA,public,172,0,0,0,targeted,NA,,,,0,,NA,,,,NA,,5,151,16,0,0,0,0,0,,,29.93996,-90.079691,19.94,9,12,,Orleans Parish,22,22071,11,Jan,22
204,482445002740,Italy High School,4824450,Italy Isd,2018-01-22,2017-2018,2018,7:53 AM,Monday,Italy,TEXAS,public,288,0,1,1,targeted,16,m,w,student,0,,NA,,,,NA,,141,43,94,0,0,0,10,0,semi-automatic .380 caliber handgun,,32.181129,-96.878968,29.21,6,12,173,Ellis County,48,48139,42,Jan,22
206,210381000976,Marshall County High School,2103810,Marshall County,2018-01-23,2017-2018,2018,7:57 AM,Tuesday,Benton,KENTUCKY,public,1384,2,14,16,indiscriminate,15,m,w,student,0,,NA,,,,NA,,1353,1,14,2,3,0,11,1,handgun,stepfather's bedroom,36.912835,-88.332917,73.1,9,12,584,Marshall County,21,21157,42,Jan,23
207,010237000942,Murphy High School,102370,Mobile County,2018-01-25,2017-2018,2018,11:20 AM,Thursday,Mobile,ALABAMA,public,2100,0,0,0,targeted,16,m,b,student,0,,NA,,,,NA,,402,1565,62,42,3,2,24,1,revolver,stolen,30.6828,-88.0867,120,9,12,905,Mobile County,1,1097,12,Jan,25
208,062271012483,Salvador B. Castro Middle School,622710,Los Angeles Unified,2018-02-01,2017-2018,2018,9:00 AM,Thursday,Los Angeles,CALIFORNIA,public,345,0,5,5,accidental,12,f,,student,0,,NA,,,,NA,,2,8,311,21,0,0,3,0,semi-automatic handgun,,34.06169,-118.265,15.83,6,8,309,Los Angeles County,6,6037,11,Feb,1
209,120018002721,Marjory Stoneman Douglas High School,1200180,Broward,2018-02-14,2017-2018,2018,2:21 PM,Wednesday,Parkland,FLORIDA,public,3158,17,17,34,indiscriminate,19,m,w,former student (expelled),0,,NA,,,,NA,,1871,364,623,210,17,2,71,1,Smith & Wesson M&P15,legally purchased by shooter,26.304483,-80.269365,129,9,12,710,Broward County,12,12011,21,Feb,14
210,130162000786,Dalton High School,1301620,Dalton City,2018-02-28,2017-2018,2018,11:30 AM,Wednesday,Dalton,GEORGIA,public,1829,0,0,0,indiscriminate,53,m,w,teacher,0,,NA,,,,NA,,458,103,1192,36,2,0,38,1,.38-caliber snub-nosed revolver,,34.77972,-84.99053,101.7,9,12,1152,Whitfield County,13,13313,13,Feb,28
211,010039000141,Huffman High School,100390,Birmingham City,2018-03-07,2017-2018,2018,3:45 PM,Wednesday,Birmingham,ALABAMA,public,1433,1,0,1,accidental,17,m,b,student,0,,NA,,,,NA,,13,1341,63,2,6,0,8,1,pistol,,33.61291,-86.682,66,9,12,775,Jefferson County,1,1073,12,Mar,7
212,062553003843,Seaside High School,625530,Monterey Peninsula Unified,2018-03-13,2017-2018,2018,1:20 PM,Tuesday,Seaside,CALIFORNIA,public,1059,0,3,3,accidental,NA,m,w,teacher,0,,NA,,,,NA,,113,79,680,107,1,35,44,0,Glock 21 .45-caliber handgun,department issued,36.62444,-121.838,52.75,9,12,736,Monterey County,6,6053,22,Mar,13
213,301854000824,Big Sky High School,3018540,Missoula H S,2018-03-16,2017-2018,2018,12:45 PM,Friday,Missoula,MONTANA,public,1075,0,0,0,targeted,NA,m,,resource officer,0,,NA,,,,NA,,903,17,58,21,70,6,0,1,pistol,department issued,46.850867,-114.057737,68.29,9,12,405,Missoula County,30,30063,13,Mar,16
214,510300001245,Douglass Park Elementary School,5103000,Portsmouth City Pblc Schs,2018-03-19,2017-2018,2018,4:23 PM,Monday,Portsmouth,VIRGINIA,public,761,0,1,1,unclear,NA,,,,0,,NA,,,,NA,,5,738,8,2,1,0,7,0,,,36.81828,-76.3393,44,KG,6,758,Portsmouth City,51,51740,13,Mar,19
215,240060001224,Great Mills High School,2400600,St. Mary's County Public Schools,2018-03-20,2017-2018,2018,7:55 AM,Tuesday,Great Mills,MARYLAND,public,1535,1,1,2,targeted,17,m,w,student,1,suicide,NA,,,,NA,,657,577,121,76,4,1,99,1,Glock semi-automatic handgun,father,38.24743,-76.4875,86.3,9,12,554,St. Mary's County,24,24037,23,Mar,20
277,280456001097,Eupora High School,2804560,Webster Co School Dist,2018-03-28,2017-2018,2018,2:40 PM,Wednesday,Europa,MISSISSIPPI,public,472,0,0,0,indiscriminate,20,m,w,,NA,,NA,,,,NA,,310,142,4,0,0,0,16,0,9mm handgun,,33.543141,-89.274143,26.59,6,12,313,Webster County,28,28155,43,Mar,28
278,261962005629,Jackson High School,2619620,Jackson Public Schools,2018-04-19,2017-2018,2018,1:44 PM,Thursday,Jackson,MICHIGAN,public,1139,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,577,342,75,33,3,2,107,0,handgun,,42.2499,-84.4185,56.04,9,12,693,Jackson County,26,26075,13,Apr,19
216,120126001271,Forest High School,1201260,Marion,2018-04-20,2017-2018,2018,8:39 AM,Friday,Ocala,FLORIDA,public,2181,0,1,1,indiscriminate,19,m,,former student,0,,NA,,,,NA,,1396,336,298,24,16,2,109,1,shotgun,,29.14362,-82.066682,101,9,12,1048,Marion County,12,12083,22,Apr,20
279,130012001865,Benjamin Elijah Mays High School,1300120,Atlanta Public Schools,2018-04-23,2017-2018,2018,1:00 PM,Monday,Atlanta,GEORGIA,public,1256,0,0,0,targeted,19,m,b,,NA,,NA,,,,NA,,2,1166,80,0,2,0,6,0,,,33.7339,-84.5038,85.7,9,12,987,Fulton County,13,13121,11,Apr,23
305,350006000063,Highland High School,3500060,Albuquerque Public Schools,2018-04-25,2017-2018,2018,2:30 PM,Wednesday,Albuquerque,NEW MEXICO,public,1163,0,1,1,targeted,NA,m,h,father of student,0,,NA,,,,NA,,98,100,818,21,86,2,38,0,handgun,owner's gun,35.074841,-106.592413,80.19,9,12,1161,Bernalillo County,35,35001,11,Apr,25
218,060282009515,Highland High School,602820,Antelope Valley Union High,2018-05-11,2017-2018,2018,7:05 AM,Friday,Palmdale,CALIFORNIA,public,2931,0,1,1,targeted,14,m,,student,0,,NA,,,,NA,,462,453,1742,159,19,5,91,0,rifle,,34.591755,-118.175561,126.42,9,12,1717,Los Angeles County,6,6037,21,May,11
219,171233001481,Dixon High School,1712330,Dixon Usd 170,2018-05-16,2017-2018,2018,8:00 AM,Wednesday,Dixon,ILLINOIS,public,803,0,0,0,targeted,19,m,w,student,0,,NA,,,,NA,,650,24,51,17,1,0,60,1,rifle,mother,41.847128,-89.488508,40.6,9,12,347,Lee County,17,17103,32,May,16
220,483927004473,Santa Fe High School,4839270,Santa Fe Isd,2018-05-18,2017-2018,2018,7:30 AM,Friday,Santa Fe,TEXAS,public,1462,10,13,23,indiscriminate,17,m,w,student,0,,NA,,,,NA,,1136,10,278,8,9,1,20,1,Remington 870 shotgun and a .38-caliber revolver,,29.393257,-95.143149,83.38,9,12,287,Galveston County,48,48167,22,May,18
221,180765000639,Noblesville West Middle School,1807650,Noblesville Schools,2018-05-25,2017-2018,2018,9:06 AM,Friday,Noblesville,INDIANA,public,1354,0,2,2,targeted,13,m,,student,0,,NA,,,,NA,,1179,28,82,22,0,1,42,1,".22 caliber gun, .45 caliber gun",,40.07825,-86.029001,64,6,8,268,Hamilton County,18,18057,21,May,25
222,370297003466,Villa Heights Elementary School,3702970,Charlotte-Mecklenburg Schools,2018-08-30,2018-2019,2018,7:30 AM,Thursday,Charlotte,NORTH CAROLINA,public,100,0,0,0,targeted,34,m,b,former boyfriend of student's mother,0,,NA,,,,NA,,24,73,15,6,0,0,4,0,.45 caliber pistol,stolen,35.236843,-80.812768,9.63,KG,5,119,Mecklenburg County,37,37119,11,Aug,30
223,320006000567,Canyon Springs High School,3200060,Clark County School District,2018-09-11,2018-2019,2018,2:35 PM,Tuesday,North Las Vegas,NEVADA,public,2887,1,0,1,targeted,16,m,b,student,0,,NA,,,,NA,,154,793,1757,56,4,18,105,1,,,36.233566,-115.135695,115,9,12,2321,Clark County,32,32003,21,Sep,11
280,370297003363,Lawrence Orr Elementary School,3702970,Charlotte-Mecklenburg Schools,2018-09-24,2018-2019,2018,9:00 AM,Monday,Charlotte,NORTH CAROLINA,public,860,0,0,0,targeted,24,m,b,,NA,,NA,,,,NA,,27,292,423,92,0,1,25,0,,,35.225991,-80.743914,45.27,PK,5,857,Mecklenburg County,37,37119,11,Sep,24
224,020018000072,Denali Montessori Elementary School,200180,Anchorage School District,2018-10-03,2018-2019,2018,10:00 AM,Wednesday,Anchorage,ALASKA,public,429,0,1,1,targeted,26,m,b,boyfriend of parent,0,,NA,,,,NA,,192,22,50,31,44,27,63,0,Sig Sauer .40 caliber handgun,,61.213281,-149.881113,26.7,PK,6,178,Anchorage Municipality,2,2020,11,Oct,3
225,645876,Battle Creek Academy,NA,,2018-10-12,2018-2019,2018,1:00 PM,Friday,Battle Creek,MICHIGAN,private,111,0,0,0,unclear,NA,,,,NA,,NA,,,,NA,,53,17,9,26,0,0,6,0,,,42.33419,-85.207497,9.9,KG,12,,Calhoun County,26,26025,13,Oct,12
226,090045001161,Paul Laurence Dunbar School,900450,Bridgeport School District,2018-10-22,2018-2019,2018,8:15 AM,Monday,Bridgeport,CONNECTICUT,public,416,0,0,0,targeted,18,m,,,NA,,NA,,,,NA,,15,139,186,2,2,0,14,0,handgun,,41.177547,-73.164585,24,PK,8,377,Fairfield County,9,9001,12,Oct,22
227,370297002324,Butler High School,3702970,Charlotte-Mecklenburg Schools,2018-10-29,2018-2019,2018,7:00 AM,Monday,Matthews,NORTH CAROLINA,public,2133,1,0,1,targeted,16,m,b,student,0,,NA,,,,NA,,860,681,410,86,9,1,86,1,.380 pistol,stolen,35.1203,-80.6916,114.21,9,12,876,Mecklenburg County,37,37119,21,Oct,29
228,510300001257,Simonsdale Elementary School,5103000,Portsmouth City Pblc Schs,2018-11-20,2018-2019,2018,3:45 PM,Tuesday,Portsmouth,VIRGINIA,public,702,0,1,1,accidental,29,m,b,parent of student,0,,NA,,,,NA,,432,217,24,6,0,1,22,0,handgun,,36.82682,-76.36628,41,KG,5,351,Portsmouth City,51,51740,13,Nov,20
